id,var_name,value,unit,reference,Comment,tag_1,tag_2,component
1,wacc,0.06,,,,,,
2,invest_costs_collect_output_th,130,EUR/kW,,,,costs,collector
3,lifetime_collector,20,a,,,,costs,collector
4,opex_collector,0.02,1,,,,costs,collector
5,invest_costs_absorption_output_cool,300,EUR/kW,,,,costs,absorption_chiller
6,lifetime_absorption,18,,,,,costs,absorption_chiller
7,opex_absorption,0.03,,,,,costs,absorption_chiller
8,conv_factor_absorption_output_cool,0.640537514,1,,,,conversion_factor,absorption_chiller
9,conv_factor_absorption_output_waste,1.640537514,1,,,,conversion_factor,absorption_chiller
10,conv_factor_absorption_input_th,0.985442329,1,,,,conversion_factor,absorption_chiller
11,conv_factor_absorption_input_el,0.014557671,1,,,,conversion_factor,absorption_chiller
12,invest_costs_compression_output_cool,350,EUR/kW,,,,costs,compression_chiller
13,lifetime_compression,15,,,,,costs,compression_chiller
14,opex_compression,0.035,,,,,costs,compression_chiller
15,conv_factor_compression_output_cool,3.5,1,,,,conversion_factor,compression_chiller
16,conv_factor_compression_output_waste,4.5,1,,,,conversion_factor,compression_chiller
17,invest_costs_boiler_output_th,100,EUR/kW,,,,costs,boiler
18,lifetime_boiler,20,,,,,costs,boiler
19,opex_boiler,0.03,,,,,costs,boiler
20,conv_factor_boiler_output_thermal,0.95,1,,,,costs,boiler
21,nominal_value_boiler_output_thermal,0,,,,,capacity,boiler
22,invest_costs_tower_input_th,30,EUR/kW,,,,costs,cooling_tower
23,lifetime_tower,20,,,,,costs,cooling_tower
24,opex_tower,0.035,,,,,costs,cooling_tower
25,conv_factor_tower_input_waste,0.98,,,,,conversion_factor,cooling_tower
26,conv_factor_tower_input_el,0.02,,,,,conversion_factor,cooling_tower
27,invest_costs_aqui_input_th,100,EUR/kW,,,,costs,aquifer
28,lifetime_aqui,30,,,,,costs,aquifer
29,opex_aqui,0.02,,,,,costs,aquifer
30,conv_factor_aquifer_input_waste,0.9,,,,,conversion_factor,aquifer
31,conv_factor_aquifer_input_el,0.1,,,,,conversion_factor,aquifer
32,invest_costs_pv_output_el_09708,970.8737864,EUR/0.97087kW,,,,costs,pv
33,invest_costs_pv_output_el_1,1000,EUR/kW,,,,costs,pv
34,lifetime_pv,25,,,,,costs,pv
35,opex_pv,0.02,,,,,costs,pv
36,size_pv,0.970873786,,,,,costs,pv
37,nominal_capacitiy_stor_thermal,0,,,,,capacity,storage_thermal
38,invest_costs_stor_thermal_capacity,20,,,,,costs,storage_thermal
39,lifetime_stor_thermal,20,,,,,costs,storage_thermal
40,opex_stor_thermal,0.01,,,,,costs,storage_thermal
41,capac_loss_stor_thermal,0.006,,,,,capacity_losses,storage_thermal
42,conv_factor_stor_thermal_input,1,,,,,conversion_factor,storage_thermal
43,conv_factor_stor_thermal_output,1,,,,,conversion_factor,storage_thermal
44,nominal_capacitiy_stor_el,0,,,,,capacity,storage_electricity
45,invest_costs_stor_el_capacity,400,EUR/kWh,,,,costs,storage_electricity
46,lifetime_stor_el,20,,,,,costs,storage_electricity
47,opex_stor_el,0.01,,,,,costs,storage_electricity
48,conv_factor_stor_el_input,0.85,,,,,conversion_factor,storage_electricity
49,conv_factor_stor_el_output,1,,,,,conversion_factor,storage_electricity
50,capac_loss_stor_el,0,,,,,capacity_losses,storage_electricity
51,nominal_capacitiy_stor_cool,0,,,,,capacity,storage_cool
52,invest_costs_stor_cool_capacity,40,,,,,costs,storage_cool
53,lifetime_stor_cool,20,,,,,costs,storage_cool
54,opex_stor_cool,0.01,,,,,costs,storage_cool
55,capac_loss_stor_cool,0.006,,,,,capacity_losses,storage_cool
56,conv_factor_stor_cool_input,1,,,,,conversion_factor,storage_cool
57,conv_factor_stor_cool_output,1,,,,,conversion_factor,storage_cool
58,price_electr,0.1,EUR/kWh,,,,costs,
59,price_gas,0.04,EUR/kWh,,,,costs,
60,CO2_price_el,0.012096,EUR/kWh,,,,costs,
61,CO2_price_gas,0.006048,EUR/kWh,,,,costs,
62,sol_fraction_thermal,1,1,,Rezibrok,,,
63,sol_fraction_el,1,1,,,,,
64,latitude,23.61333,,,,,,
65,longitude,58.5933,,,,,,
66,collector_tilt,15,,,,,,
67,collector_azimuth,180,,,,,,
68,eta_0,0.625,,,,,,
69,a_1,0.93,,,,,,
70,a_2,0.004,,,,,,
71,temp_collector_inlet,70,,,,,,
72,delta_temp_n,20,,,,,,
